id,status,date,placename,lat,lng,age,gender,nationality,from,patientstatus,note,source,parentcase
45,unspecified_location,2020-12-18,ซ.รุ่งเรือง 5 บางบัวทอง,13.87779142,100.4215436,0,0,0,0,unknown,เคสผู้ติดเชื้อโควิด-19 หญิงชาว อ.บางกรวย วันที่ 14-18 ธค. เวลา 17.00-21.00 น. จะทำงานร้านขายของชำ ซ.รุ่งเรือง 5 บางบัวทอง,https://www.khaosod.co.th/breaking-news/news_5591909,0
46,patient_has_been_here,2020-12-19,ตลาดหมู่บ้านศรีทอง จ.อยุธยา,14.1487352,100.6155778,0,female,0,0,unknown,พบผู้ป่วยติดเชื้อโควิด-19 ไม่มีอาการ จำนวน 1 ราย เป็นหญิง เดินทางกลับมาจากการไปทำงานที่ร้านเสริมสวยใน จ.เชียงใหม่,https://www.matichon.co.th/covid19/thai-covid19/news_2492767,0
47,unspecified_location,2020-12-19,รามอินทรา ,13.8057625,100.6621959,0,0,0,0,unknown,เคสแม่ค้ารถพุ่มพวงติดโควิด เป็นรถกระบะสีขาว ป้ายแดง ทะเบียน 8681 สมุทรปราการ ,https://www.thairath.co.th/news/local/central/1999153,0
48,unspecified_location,2020-12-19,บ่อนไก่ชนใน ต.บางเลน,14.01215068,100.17523,0,0,0,0,unknown,พบผู้ป่วยโควิด-19 ชาย มาบ่อนไก่ชนในบางเลน,https://mgronline.com/local/detail/9630000130818,0
49,patient_has_been_here,2020-12-19,ห้างสรรพสินค้ายูเนียนมอลล์,13.8134088,100.5616103,0,0,0,0,unknown,เคสผู้ติดเชื้อโควิด-19 หญิงชาว อ.บางกรวย 19 ธ.ค. เวลา 10.00 น. ไปห้างสรรพสินค้ายูเนียนมอลล์ และเดินข้ามมาเซ็นทรัลลาดพร้าว,https://www.khaosod.co.th/breaking-news/news_5591909,0
50,patient_has_been_here,2020-12-19,เซ็นทรัลลาดพร้าว,13.816493,100.5610062,0,0,0,0,unknown,เคสผู้ติดเชื้อโควิด-19 หญิงชาว อ.บางกรวย 19 ธ.ค. เวลา 10.00 น. ไปห้างสรรพสินค้ายูเนียนมอลล์ และเดินข้ามมาเซ็นทรัลลาดพร้าว,https://www.khaosod.co.th/breaking-news/news_5591909,0
51,patient_has_been_here,2020-12-19,ตลาดชาวสยาม บางกรวย,13.7966595,100.4755856,0,0,0,0,unknown,เคสผู้ติดเชื้อโควิด-19 หญิงชาว อ.บางกรวย 19 ธ.ค. เวลา 20.00 น. ไปตลาดชาวสยาม บางกรวยพร้าว,https://www.khaosod.co.th/breaking-news/news_5591909,0
52,confirmed,2020-12-20,ตลาดกลางกุ้งจังหวัดสมุทรสาคร,13.5579068,100.270829,0,0,0,0,unknown,พบการแพร่ระบาดของโควิดในตลาดกุ้ง และในพื้นที่ จ.สมุทรสาคร,https://www.thaipost.net/main/detail/87367,0
53,unspecified_location,2020-12-20,เสรีไทย ซ.50,13.7937004,100.6923144,0,0,0,0,unknown,เคสแม่ค้ารถพุ่มพวงติดโควิด เป็นรถกระบะสีขาว ป้ายแดง ทะเบียน 8681 สมุทรปราการ ,https://www.thairath.co.th/news/local/central/1999153,0
54,confirmed,2020-12-20,ตลาดยายพ่วง มหาชัย,13.5455607,100.2767611,0,0,0,0,unknown,เคสเจ้าของร้านอาหารติดโควิด มีประวัติไปแพกุ้ง ตลาดยายพ่วง มหาชัย,https://www.facebook.com/SomsakPuOb/photos/a.237834942950311/3554401867960252/?type=3,0
55,sanitizing,2020-12-20,ร้านอาหารแห่งหนึ่ง,13.7204469,100.5004708,0,0,0,0,unknown,เคสเจ้าของร้านอาหารติดโควิด มีประวัติไปแพกุ้ง จ.สมุทรสาคร,https://www.thairath.co.th/news/local/east/1998735,0
56,patient_has_been_here,2020-12-20,ร้านอาหารแห่งหนึ่ง,14.3355326,100.87017,0,0,0,0,unknown,ขอให้ผู้ที่ไปใช้บริการร้านอาหาร ตั้งแต่วันที่ 15-20 ธ.ค. 2563 เป็นต้นมา ณ ร้านแจ่วฮ้อนตาแป๊ะบุฟเฟ่ 149 ซึ่งมี 3 สาขา สาขาที่ 1 อำเภอหนองแค สาขา 2 อำเภอแก่งคอย และสาขา 3 อำเภอเมืองสระบุรี และตลาดหนองเสือ จ.ปทุมธานี ได้สังเกตอาการตนเองเป็นเวลา 14 วัน ให้สวมหน้ากากอนามัย หรือหน้ากากผ้าตลอดเวลา หลีกเลี่ยงคลุกคลีใกล้ชิดกับผู้อื่น,https://www.thairath.co.th/news/local/central/1998711,0
